n_qubits,avg_fidelity,std_fidelity,avg_runtime
2,0.9978278616901136,0.0030718315025924942,0.16822568575541177
3,0.9975540149754257,0.0022301125899378306,0.16672857602437338
4,0.989774285943565,0.008956586396346928,0.18503324190775552
5,0.9693623576994234,0.030952031637327116,0.184893528620402
6,0.9734742596229884,0.00510393320893155,0.17123778661092123
